1304048,11850
764040,11415
1003318,10898
342789,10580
1264461,10012
624892,9700
721751,9413
971211,9184
871471,8712
1155757,8485
1002498,8115
391757,8067
114591,7771
1884456,7647
1057875,7519
1737206,7513
325854,7410
1543178,7402
345044,7180
913339,7163
172423,7086
524451,6871
60228,6847
271432,6811
348859,6748
293061,6597
544,6516
273985,6490
105492,6484
2229984,6392
164948,6351
1788399,6303
992455,6298
955858,6248
441834,6167
655493,6112
381792,6094
1185563,6057
267654,6001
267650,5997
535608,5978
1264698,5912
864547,5907
71832,5898
1010346,5847
575,5844
263273,5844
1789001,5841
19177,5836
585202,5760
436287,5758
389048,5756
12721,5749
267656,5710
27760,5681
766606,5651
171899,5648
1625164,5632
150662,5619
573989,5579
271455,5560
82318,5555
263942,5525
201303,5476
998212,5467
312176,5407
144644,5403
325763,5387
1561995,5365
1931950,5336
609182,5329
356830,5289
1021936,5270
1781505,5266
1758797,5255
69779,5230
1609320,5224
417468,5193
943862,5185
1353564,5171
71802,5148
52602,5130
381803,5126
787017,5121
1089650,5096
709943,5085
888065,5074
324905,5069
2199481,5048
1491375,5018
576322,5009
778254,4989
1403008,4987
329047,4986
271435,4970
1986087,4958
267133,4954
438876,4952
827205,4915
960873,4900
267157,4898
339510,4890
372959,4864
584664,4837
251256,4797
1131108,4779
381802,4764
267112,4758
552278,4741
528231,4731
17765,4707
998870,4692
1246668,4684
1206610,4673
271436,4670
1558383,4637
992456,4634
1030344,4629
365695,4629
391760,4619
1978301,4602
394131,4601
524974,4599
658595,4586
349895,4563
163027,4558
1346001,4556
802438,4539
70387,4520
486115,4499
453773,4475
1111337,4472
680183,4448
293067,4446
518165,4434
297657,4404
719872,4393
584673,4362
484620,4351
472732,4348
1203501,4345
877116,4344
267247,4343
585035,4320
260031,4319
553921,4312
616740,4298
913207,4283
1241688,4276
267266,4272
1236719,4266
1301234,4257
2026877,4252
267258,4250
256860,4240
1687751,4238
876866,4231
809911,4226
1550509,4219
325764,4214
129517,4205
170199,4202
644740,4183
381804,4171
868430,4154
2082700,4151
297826,4146
484263,4108
913241,4102
42777,4091
2022105,4072
2193813,4069
507063,4067
1331286,4065
479307,4064
132328,4055
1375026,4048
688621,4025
273977,4006
263943,3994
183846,3992
1060902,3979
609980,3976
1675697,3967
584671,3959
414836,3957
144632,3954
689434,3953
651617,3946
112694,3937
483067,3932
55478,3924
57585,3922
1820333,3913
2199562,3907
909793,3887
112654,3866
188415,3864
312119,3853
804527,3850
