mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
546070,731,47,35,5,15,false,false,0,true,梅子日本料理（清华店）
1353564,4247,47,50,5,25,true,false,0,false,凉皮先生（五道口1店）
662684,480,48,36,6,20,true,false,0,true,船歌鱼水饺（中关村店）
290316,2053,48,30,5,20,true,false,0,true,一品三笑（五道口店）
826772,808,46,38,4,20,false,false,0,false,本色生活健康餐
585175,2503,46,30,8,20,true,false,0,true,田老师红烧肉（海淀苏州街店）
297826,4013,46,33,7,20,true,false,0,true,南京大牌档(中关村店)
1779649,961,47,37,2,0,true,false,0,false,五食代（中关村店）
670040,447,49,39,7,20,true,false,0,true,西贝莜面村(北京欧美汇店)
501121,1837,46,39,3,0,false,false,0,false,陕西羊汤
1043642,1072,48,43,6,20,false,false,0,true,椒鸣椒麻小馆
548453,2393,45,31,4,15,false,false,0,false,三顾堂（五道口店）
150514,800,48,41,6,20,true,false,0,true,港仔驿栈（五道口店）
794624,777,49,39,6,30,false,false,0,true,一心日本料理（五道口店）
2355904,19,0,30,6,20,false,false,1,true,披萨工廠Pizza Factory（五道口店）
2054880,752,48,34,4,0,false,false,0,false,广东炒粉
1760449,1507,44,33,2,0,false,false,0,false,巫山烤鱼家常菜（中关村店）
2399270,613,47,36,5,0,false,false,1,false,35秒烤肉拌饭（知春路店）
509263,716,49,43,7,20,true,false,0,true,必胜客（五道口店）
311745,1616,46,40,7,20,true,false,0,true,眉州东坡酒楼(中关村店)
2227850,2736,46,34,4,0,false,false,0,false,馋小喵三汁焖锅
2334993,1059,45,33,3,15,false,false,0,false,渝则成（中关村店）
624892,9089,43,31,4,15,true,false,0,false,汤火功夫麻辣烫（五道口店）
504790,707,48,32,6,20,true,false,0,true,九头鹰酒家（知春路店）
2232713,154,42,37,3,15,false,false,0,false,东北饺子@饼
2440896,0,0,55,4,0,false,false,1,false,火半（五道口店）
794169,337,45,31,2,0,false,false,0,false,川湘小炒
564237,378,48,36,6,20,false,false,0,true,桥咖啡（五道口店）
12721,5215,48,35,15,0,false,false,0,false,极速汉堡
874797,682,46,35,3,15,true,false,0,false,香肠公主（五道口店）
112693,638,48,32,6,20,true,false,0,true,嘉和一品粥(清华店)
1773931,218,47,45,5,20,true,false,0,false,披萨革命（中关村店）
2439646,1,0,32,3,15,false,false,1,false,味之源.炒菜盖饭
2183374,1999,48,36,4,0,false,false,0,false,健食坊
1173722,2972,48,41,3,0,false,false,0,false,三顺韩式炸鸡店
