lng,lat,mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
116.25,39.94,1391957,2015,47,57,10,0,false,false,0,false,"花果园（水果切）"
116.25,39.94,1170023,1992,48,102,20,50,true,false,0,false,"7cake榴莲千层蛋糕"
116.25,39.94,1540699,1934,43,53,4,20,true,false,0,false,"麦堡王（风尚城堡）"
116.25,39.94,772714,1924,45,30,4,20,false,false,0,false,"黄焖鸡米饭云南过桥米线"
116.25,39.94,179160,1817,48,82,30,98,true,false,0,false,"夹克的虾（小龙虾外卖）"
116.25,39.94,156761,1770,46,144,10,0,true,false,0,false,"味多美（蛋糕店）"
116.26,39.94,164948,6351,48,61,15,30,true,false,0,false,"果腿儿鲜果切"
116.26,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.26,39.94,417468,5193,44,33,4,0,true,false,0,false,"张亮麻辣烫（金源店）"
116.26,39.94,943862,5185,47,68,15,0,true,false,0,false,"老婆很芒"
116.26,39.94,1803304,3702,46,35,3,20,false,false,0,false,"李记 凉皮肉夹馍"
116.26,39.94,1081706,3564,48,61,15,20,true,false,0,false,"果腿儿鲜果切"
116.26,39.94,379616,3083,46,32,3,25,true,false,0,false,"张亮麻辣烫（田村店）"
116.26,39.94,585000,2942,47,33,5,20,true,false,0,true,"田老师红烧肉(欧尚店)"
116.26,39.94,1978169,2822,46,32,5,20,false,false,0,false,"35秒烤肉拌饭武警总医院店）"
116.26,39.94,97310,2557,47,46,7,20,true,false,0,false,"和合谷(海淀区田村店)"
116.26,39.94,456391,2399,48,58,29,88,true,false,0,false,"首迩紫菜包饭（总部基地店）"
116.26,39.94,1406703,2283,49,89,49,158,true,false,0,false,"河风精致寿司"
116.26,39.94,1281559,2264,45,43,3,0,true,false,0,false,"焦耳川式快餐（田村店）"
116.26,39.94,224027,2253,47,59,7,0,false,false,0,false,"麻辣村.麻辣香锅烤鱼"
116.26,39.94,202314,2194,47,83,35,0,false,false,0,false,"辣私房（小龙虾海鲜外卖）"
116.26,39.94,530685,2167,48,107,0,0,true,false,0,false,"美味可口蛋糕"
116.26,39.94,422608,2090,48,30,5,20,true,false,0,true,"庆丰包子铺（美丽园店）"
116.26,39.94,1391957,2015,47,57,10,0,false,false,0,false,"花果园（水果切）"
116.26,39.94,1170023,1992,48,102,20,50,true,false,0,false,"7cake榴莲千层蛋糕"
116.26,39.94,267702,1950,45,44,7,20,true,false,0,true,"大鸭梨烤鸭(八里庄店)"
116.26,39.94,1540699,1934,43,53,4,20,true,false,0,false,"麦堡王（风尚城堡）"
116.26,39.94,772714,1924,45,30,4,20,false,false,0,false,"黄焖鸡米饭云南过桥米线"
116.26,39.94,483797,1911,45,37,0,20,false,false,0,false,"东北家常菜"
116.26,39.94,179160,1817,48,82,30,98,true,false,0,false,"夹克的虾（小龙虾外卖）"
116.26,39.94,156761,1770,46,144,10,0,true,false,0,false,"味多美（蛋糕店）"
116.27000000000001,39.94,164948,6351,48,61,8,20,true,false,0,false,"果腿儿鲜果切"
116.27000000000001,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.27000000000001,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.27000000000001,39.94,417468,5193,44,33,4,0,true,false,0,false,"张亮麻辣烫（金源店）"
116.27000000000001,39.94,943862,5185,47,68,15,0,true,false,0,false,"老婆很芒"
116.27000000000001,39.94,339510,4890,46,35,7,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.27000000000001,39.94,17765,4707,46,36,7,15,false,false,0,false,"东北特味"
116.27000000000001,39.94,1030344,4629,46,30,4,20,true,false,0,false,"张亮麻辣烫（金沟河店）"
116.27000000000001,39.94,1803304,3702,46,35,3,20,false,false,0,false,"李记 凉皮肉夹馍"
116.27000000000001,39.94,1081706,3564,48,61,15,20,true,false,0,false,"果腿儿鲜果切"
116.27000000000001,39.94,1757868,3303,48,36,5,0,true,false,0,false,"小火慢炖排骨米饭"
116.27000000000001,39.94,379616,3083,46,32,3,25,true,false,0,false,"张亮麻辣烫（田村店）"
116.27000000000001,39.94,585000,2942,47,30,5,20,true,false,0,true,"田老师红烧肉(欧尚店)"
116.27000000000001,39.94,1978169,2822,46,32,5,20,false,false,0,false,"35秒烤肉拌饭（武警总医院店）"
116.27000000000001,39.94,97310,2557,47,46,7,20,true,false,0,false,"和合谷(海淀区田村店)"
116.27000000000001,39.94,456391,2399,48,58,29,88,true,false,0,false,"首迩紫菜包饭（总部基地店）"
116.27000000000001,39.94,2046210,2310,45,34,5,20,false,false,0,false,"私菜益汤（航天桥店）"
116.27000000000001,39.94,1406703,2283,49,89,49,158,true,false,0,false,"河风精致寿司"
116.27000000000001,39.94,1281559,2264,45,43,3,0,true,false,0,false,"焦耳川式快餐（田村店）"
116.27000000000001,39.94,224027,2253,47,59,7,0,false,false,0,false,"麻辣村.麻辣香锅烤鱼"
116.27000000000001,39.94,202314,2194,47,83,35,0,false,false,0,false,"辣私房（小龙虾海鲜外卖）"
116.27000000000001,39.94,530685,2167,48,107,0,0,true,false,0,false,"美味可口蛋糕"
116.27000000000001,39.94,299537,2128,45,47,1,20,false,false,0,false,"嘚德饭"
116.27000000000001,39.94,422608,2090,48,30,5,20,true,false,0,true,"庆丰包子铺（美丽园店）"
116.27000000000001,39.94,1391957,2015,47,57,10,0,false,false,0,false,"花果园（水果切）"
