name,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,mtWmPoiId
张亮麻辣烫(保福寺店),4248,45,36,3,0,true,false,0,false,1060902
龙腾轩,4538,48,36,6,20,true,false,0,true,553921
南京大牌档(中关村店),4465,46,51,8,20,true,false,0,true,297826
张亮���辣烫（农大店）,5901,44,43,3,18,true,false,0,false,82318
湘乡食堂,5556,44,34,5,0,false,false,0,false,1021936
凉皮先生（牡丹园店）,4445,47,37,7,15,true,false,0,false,809911
龙文桂林米粉,4406,45,54,1,0,false,false,0,false,42777
好嫂子（牡丹园店）,6501,47,38,6,20,true,false,0,true,655493
金百万美食MALL（牡丹园店）,6366,47,38,6,20,true,false,0,true,263273
快美佳烤肉拌饭,5467,47,33,6,0,false,false,0,false,1089650
海盗虾饭（知春路店）,4560,48,39,7,20,true,false,0,true,1301234
张姐烤肉饭,4281,47,49,1,0,false,false,0,false,183846
老重庆食府(牡丹园店）,4276,42,39,2,0,false,false,0,false,882729
十八碗原味蒸菜（菜蒸香）,4111,42,36,4,0,false,false,0,false,112654
嘉和一品粥(学清路店),4017,47,32,6,20,true,false,0,true,112765
台资味（北京六道口店）,3888,45,40,2,25,true,false,0,false,753610
缘来赫赫小厨麻辣香锅,11534,44,38,7,15,true,false,0,false,1003318
天天烤肉拌饭,9111,47,34,4,15,false,false,0,false,1155757
原味觉醒•健康餐,3395,48,35,4,15,true,false,0,false,2161410
肉夹小魔王（中关村店）,3099,49,42,9,0,true,false,0,false,1779689
福里(知春路店),3046,47,33,4,0,false,false,0,false,151358
熊三拌饭（芍药居店）,4097,47,34,7,20,true,false,0,false,2199562
张亮麻辣烫（国奥店）,2918,44,35,3,15,true,false,0,false,501563
凉皮先生（志新店）,2850,47,35,3,15,true,false,0,false,1300226
尚品披萨,2816,46,41,5,25,false,false,0,false,963429
赵记驴肉火烧（农大店）,2734,46,32,4,15,false,false,0,false,885228
红烧肉传奇,2646,47,44,15,0,false,false,0,false,2300
焦耳川式快餐（六道口店）,2503,46,32,5,0,true,false,0,false,165500
湘香腊辣（国奥店）,2476,46,39,3,0,false,false,0,false,340435
果想你（箭送）,2467,49,37,28,30,false,false,0,false,761442
张亮麻辣烫,8114,44,30,4,15,true,false,0,false,1737206
馍饭传奇（惠新西街店）,7550,45,30,4,20,true,false,0,false,913339
孟记粥铺（亚运村店）,5807,45,30,3,15,false,false,0,false,144644
香煎合太吉,4330,46,37,4,15,false,false,0,false,2022105
强记桂林米粉.螺蛳粉.煲仔饭（慧忠路店）,4259,47,31,3,15,false,false,0,false,144632
京味斋（亚运村鸟巢店）,3179,48,48,6,30,true,false,0,true,1551783
张亮麻辣烫(安慧里店),2964,45,34,3,15,false,false,0,false,1825478
卖虾便当（惠新里店）,6230,46,34,4,15,true,false,0,false,1789001
南城香（北苑店）,3752,49,37,5,20,true,false,0,true,71828
UFO韩国拌饭,3739,45,40,8,60,false,false,0,false,924371
没名儿生煎（亚运村店）,3563,45,46,5,20,true,false,0,false,525317
田老师红烧肉（育慧北路店）,3289,46,38,6,20,true,false,0,true,585001
和合谷(海淀区田村店),2691,47,46,7,20,true,false,0,false,97310
首迩紫菜包饭（总部基地店）,2549,48,58,29,88,true,false,0,false,456391
焦耳川式快餐（田村店）,2373,45,43,6,30,true,false,0,false,1281559
黄焖鸡米饭云南过桥米线,2057,45,30,7,20,false,false,0,false,772714
麦堡王（风尚城堡）,2048,43,50,5,20,true,false,0,false,1540699
小火慢炖排骨米饭（风尚城堡店）,1750,45,37,4,20,true,false,0,false,1697200
老家肉饼,1645,47,30,5,20,true,false,0,true,675606
35秒烤肉拌饭（武警总医院店）,3057,46,32,7,20,false,false,0,false,1978169
田老师红烧肉(欧尚店),3057,47,35,7,20,true,false,0,true,585000
嘉和一品粥(永定路店),2625,47,30,7,20,true,false,0,true,112790
金百万美食MALL（万城店）,7946,48,30,7,20,true,false,0,true,325854
张亮麻辣烫（金沟河店）,4928,46,30,5,20,true,false,0,false,1030344
李记 凉皮肉夹馍,3932,46,35,4,20,false,false,0,false,1803304
张亮麻辣烫（田村店）,3326,46,32,3,25,true,false,0,false,379616
好嫂子（金沟河店）,3255,48,30,7,20,true,false,0,true,491995
张亮麻辣烫（金源店）,5407,44,33,4,0,true,false,0,false,417468
大鸭梨烤鸭(八里庄店),2061,45,44,7,20,true,false,0,true,267702
东北家常菜,2033,45,37,0,20,false,false,0,false,483797
